"Ca_processed_masked" "Cb_processed_masked" "HK_processed_masked" "β_processed_masked" "β+C_processed_masked" "β+γ+C_processed_masked" "γ_processed_masked" "γ+Ca_processed_masked" "γ+Cb_processed_masked" "γ+Cc-Cf_processed_masked"
"maskedtoken" 40.2118713482226 43.351071398082 44.3685393258427 43.6523851215861 45.412091379528 44.2537558223447 42.2048463836536 49.9391339632485 44.8580596040896 43.6985082560115
"est" 4.35756020313439 3.43331151646225 3.54157303370787 3.48706941188654 2.82721191467878 3.27100964377091 3.39689447866337 2.06944524955075 3.1134435501414 3.44684145453705
"et" 2.93234314421449 3.45180842890071 2.87640449438202 3.35432729874507 3.4961504480626 3.41533818802073 3.24198723859403 3.54762042780129 3.44518164020013 3.23191939267185
"non" 2.36990116310817 2.68774366125039 2.8314606741573 2.85630901610793 2.60843956413816 2.71075247654661 2.24984324862612 2.69549591328039 2.94757450511203 2.66803785401477
"quod" 2.78490689674002 2.65928687288353 2.44494382022472 2.04385196900801 2.19193066599352 2.81965492357148 2.51539851731642 2.78244739435395 2.47715901675005 2.91069179483032
"in" 2.04772565936766 2.28508010585925 2.13932584269663 2.35829073347078 1.9310867095797 2.29351177589713 2.07649467045329 2.20277085386354 2.62943223841636 2.11802225483286
"ergo" 1.84022279255174 1.63768817051308 1.35730337078652 1.79531354440271 1.11910471622702 1.31732598569835 1.65972042931435 1.11297895774158 1.47650641722863 1.67893417145234
"set" 1.23409599737891 0.995987592840272 1.24044943820225 1.13442727897497 1.21166224914805 1.37243324804828 1.2798288643824 1.27528838907889 1.13932999782467 1.17051639069595
"ad" 0.961065909463223 1.02017586295211 1.3123595505618 1.15325594750567 1.17800496444949 1.1992389949485 0.970014384243721 1.18254014260043 1.0169675875571 1.30339831066637
"quia" 1.18495058155409 1.14965425002134 1.19550561797753 1.10806714303198 0.959232613908873 1.05884668372368 1.0216501309335 1.05501130369254 1.2100282793126 1.21904717885906
"hoc" 1.01021132528805 1.15961412594975 1.15056179775281 1.14007587953418 1.04337582565527 1.22679262612347 1.0105853280714 1.07819836531216 0.84566021318251 1.06652184463215
"si" 0.911920493638399 1.12973449816454 0.997752808988764 1.02522100149688 0.929782489797636 0.961752935773798 1.05115627189909 1.46658164744073 1.35414400696106 1.11505263279526
"item" 0.655272210997652 0.892120315301215 0.898876404494382 1.06664407226443 0.765703226892171 0.543200157449321 1.0105853280714 0.701408613993392 0.837502719164673 0.822712408860335
"de" 0.546060175831377 0.76264192823198 1.01573033707865 0.704192203048361 0.837224956876604 0.734763497999082 0.745030059381109 0.77096979885224 0.796715249075484 0.873554186935974
"uel" 0.808169060230437 0.594746876867477 0.91685393258427 0.562977189068075 0.862467920400522 0.797743226399003 0.74134179176041 0.794156860471857 0.622688710028279 0.664409599852097
"cum" 0.655272210997652 0.645969095927834 0.68314606741573 0.576157257039568 0.790946190416088 0.721642721249098 0.660199904105042 0.55648947887079 0.712421144224494 0.649388165420658
"ex" 0.556981379348004 0.70572835149825 0.557303370786517 0.65900339857467 0.786739029828769 0.669159614249164 0.553240143104784 0.388383282128572 0.715140308897107 0.606634852038871
"ut" 0.540599574073063 0.614666628724282 0.512359550561798 0.854821551294 0.626866927510623 0.641605983074198 0.586434551691071 0.730392441017912 0.584620404611703 0.487618871543626
"quam" 0.513296565281494 0.668734526621325 0.431460674157303 0.739025239830165 0.504859270478354 0.459227186249426 0.48685132593221 0.440554170772709 0.647161192081792 0.654010145245716
"sit" 0.759023644405614 0.586209840357417 0.521348314606742 0.56391862249461 0.538516555176911 0.574690021649282 0.542175340242688 0.492725059416845 0.527517946486839 0.675964549414742
"per" 0.371320919565336 0.549216015480493 0.269662921348315 0.471658146694157 1.45147040262527 0.509086137899364 1.25401099103751 0.365196220508956 0.503045464433326 0.496862831193742
"ita" 0.606126795172828 0.691499957314818 0.521348314606742 0.474482446973762 0.525895073414952 0.667847536574165 0.560616678346181 0.492725059416845 0.516641287796389 0.521128225275297
"a" 0.895538688363458 0.497993796420136 0.835955056179775 0.440590843618494 0.685767175733098 0.611428196549236 0.796665806070889 0.37099298591386 0.448662170981075 0.467975457287129
"esse" 0.453229945940043 0.611820949887596 0.467415730337079 0.509315483755566 0.33236568639825 0.465787574624418 0.656511636484343 0.272447974030491 0.592777898629541 0.563881538657084
"potest" 0.431387538906788 0.570558606755642 0.602247191011236 0.409523540542831 0.479616306954436 0.514334448599357 0.627005495518755 0.39997681293838 0.56014792255819 0.376691355742232
"qui" 0.567902582864632 0.43396602259469 0.521348314606742 0.455653778443057 0.366022971096807 0.39231122482451 0.394644635414746 0.579676540490406 0.524798781814227 0.485307881631097
"hec" 0.627969202206083 0.43823454084972 0.458426966292135 0.437766543338888 0.605831124574025 0.384438758774519 0.74134179176041 0.144919135122602 0.326299760713509 0.482996891718568
"enim" 0.480532954731611 0.38132096411599 0.251685393258427 0.587454458157991 0.509066431065674 0.473660040674408 0.354073691587062 0.365196220508956 0.405155536219273 0.33509353731671
"sic" 0.294872494948943 0.330098745055633 0.404494382022472 0.56391862249461 0.408094576970003 0.326707341074592 0.30612621251798 0.394180047533476 0.375244724820535 0.295806708803716
"secundum" 0.212963468574237 0.371361088187587 0.251685393258427 0.478248180679903 0.403887416382683 0.435609788099455 0.269243536310995 0.237667381601067 0.242005655862519 0.375535860785968
"iste" 0.578823786381259 0.401240715972795 0.61123595505618 0.357744702083392 0.277672598763095 0.341140195499574 0.523734002139195 0.104341777288273 0.212094844463781 0.44255456824931
"tamen" 0.436848140665101 0.404086394809482 0.512359550561798 0.303141563344348 0.340780007572889 0.421176933674474 0.379891564931951 0.324618862674628 0.402436371546661 0.380157840611026
"peccatum" 0.977447714738164 0.340058620984036 0.242696629213483 0.40575780683669 0.151457781143506 0.226989437774716 0.508980931656401 0.208683554576546 0.396998042201436 0.395179275042464
"sicut" 0.28941189319063 0.327253066218947 0.449438202247191 0.293727229078996 0.353401489334848 0.434297710424457 0.387268100173349 0.382586516723668 0.372525560147923 0.433310608599193
"dicitur" 0.447769344181729 0.357132694004155 0.458426966292135 0.298434396211672 0.294501241112373 0.388374991799515 0.346697156345664 0.336212393484436 0.424189688927561 0.391712790173671
"sunt" 0.365860317807022 0.395549358299422 0.224719101123595 0.324794532154659 0.43754470108124 0.324083185724595 0.335632353483569 0.463741232392325 0.416032194909724 0.359358931398264
"pro" 0.496914760006553 0.493725278165106 0.125842696629213 0.320087365021982 0.572173839875468 0.207308272649741 0.28030833917309 0.260854443220683 0.4758538177072 0.367447396092116
"deus" 0.42046633539016 0.344327139239065 0.107865168539326 0.392577738865196 0.33236568639825 0.245358525224693 0.390956367794047 0.0811547156686569 0.176745703719817 0.328160567579123
